Name,Date,Open,High,Low,Last,Close,Number of Shares,Number of Trades,Turnover,vwap
B.COM.PORTUGUES,2024-09-20T00:00:00Z,0.4154,0.4199,0.4154,0.4189,0.4189,74075939,3190,30993616,0.4184
B.COM.PORTUGUES,2024-09-19T00:00:00Z,0.4199,0.4216,0.4078,0.4154,0.4154,74568249,4013,30841127,0.4136
B.COM.PORTUGUES,2024-09-18T00:00:00Z,0.4152,0.4209,0.4147,0.4178,0.4178,45358599,1876,18950065,0.4178
B.COM.PORTUGUES,2024-09-17T00:00:00Z,0.409,0.417,0.409,0.4157,0.4157,67155296,2444,27829264,0.4144
B.COM.PORTUGUES,2024-09-16T00:00:00Z,0.4128,0.4131,0.4038,0.4078,0.4078,45938037,2213,18723730,0.4076
B.COM.PORTUGUES,2024-09-13T00:00:00Z,0.4076,0.4149,0.4071,0.413,0.413,50335339,1809,20726343,0.4118
B.COM.PORTUGUES,2024-09-12T00:00:00Z,0.4061,0.41,0.4033,0.4082,0.4082,44700510,1758,18208294,0.4073
B.COM.PORTUGUES,2024-09-11T00:00:00Z,0.4011,0.407,0.3994,0.4028,0.4028,52727131,2464,21227433,0.4026
B.COM.PORTUGUES,2024-09-10T00:00:00Z,0.4096,0.4115,0.399,0.399,0.399,45752513,2137,18480299,0.4039
B.COM.PORTUGUES,2024-09-09T00:00:00Z,0.4039,0.4102,0.4039,0.4081,0.4081,39121331,1819,15967262,0.4081
B.COM.PORTUGUES,2024-09-06T00:00:00Z,0.41,0.4132,0.4031,0.4047,0.4047,44792535,2348,18232821,0.4071
B.COM.PORTUGUES,2024-09-05T00:00:00Z,0.4105,0.4173,0.4097,0.4112,0.4112,33485502,1963,13858266,0.4139
B.COM.PORTUGUES,2024-09-04T00:00:00Z,0.407,0.4145,0.4045,0.4138,0.4138,46006014,2091,18913989,0.4111
B.COM.PORTUGUES,2024-09-03T00:00:00Z,0.4208,0.4242,0.409,0.411,0.411,98478063,3974,40978413,0.4161
B.COM.PORTUGUES,2024-09-02T00:00:00Z,0.4189,0.4222,0.4152,0.4204,0.4204,53791837,2149,22584655,0.4199
B.COM.PORTUGUES,2024-08-30T00:00:00Z,0.4123,0.417,0.4123,0.4159,0.4159,62850143,1924,26121312,0.4156
B.COM.PORTUGUES,2024-08-29T00:00:00Z,0.4072,0.4144,0.4072,0.4112,0.4112,67974322,2375,27995160,0.4118
B.COM.PORTUGUES,2024-08-28T00:00:00Z,0.4091,0.4128,0.4055,0.4105,0.4105,59858216,2435,24526048,0.4097
B.COM.PORTUGUES,2024-08-27T00:00:00Z,0.4016,0.4095,0.4007,0.4083,0.4083,63375411,2659,25765039,0.4065
B.COM.PORTUGUES,2024-08-26T00:00:00Z,0.4038,0.4039,0.3986,0.4013,0.4013,46152049,1662,18496269,0.4008
B.COM.PORTUGUES,2024-08-23T00:00:00Z,0.398,0.4045,0.3975,0.4044,0.4044,68543034,2180,27598842,0.4027
B.COM.PORTUGUES,2024-08-22T00:00:00Z,0.4001,0.4034,0.3951,0.3987,0.3987,44147099,1624,17651637,0.3998
B.COM.PORTUGUES,2024-08-21T00:00:00Z,0.4021,0.4032,0.3969,0.3995,0.3995,41291308,1751,16526251,0.4002
B.COM.PORTUGUES,2024-08-20T00:00:00Z,0.4019,0.4072,0.3982,0.4008,0.4008,79752565,3008,32105195,0.4026
B.COM.PORTUGUES,2024-08-19T00:00:00Z,0.395,0.4019,0.394,0.4004,0.4004,62031855,2557,24764956,0.3992
B.COM.PORTUGUES,2024-08-16T00:00:00Z,0.3939,0.398,0.3914,0.397,0.397,51820257,2146,20511546,0.3958
B.COM.PORTUGUES,2024-08-15T00:00:00Z,0.389,0.3949,0.3846,0.3937,0.3937,58668365,2045,22951127,0.3912
B.COM.PORTUGUES,2024-08-14T00:00:00Z,0.3833,0.3888,0.3831,0.3879,0.3879,56613183,2174,21866947,0.3863
B.COM.PORTUGUES,2024-08-13T00:00:00Z,0.379,0.3822,0.3784,0.3822,0.3822,47357466,1903,18040778,0.381
B.COM.PORTUGUES,2024-08-12T00:00:00Z,0.3785,0.3815,0.3765,0.3778,0.3778,33900488,1459,12832083,0.3785
B.COM.PORTUGUES,2024-08-09T00:00:00Z,0.375,0.3805,0.3735,0.3772,0.3772,53494965,2302,20171134,0.3771
B.COM.PORTUGUES,2024-08-08T00:00:00Z,0.3705,0.3744,0.3625,0.3728,0.3728,70997971,3076,26246410,0.3697
B.COM.PORTUGUES,2024-08-07T00:00:00Z,0.3659,0.374,0.3625,0.3728,0.3728,65079947,3307,24092850,0.3702
B.COM.PORTUGUES,2024-08-06T00:00:00Z,0.367,0.36870000000000003,0.355,0.3605,0.3605,77075596,3536,27829275,0.3611
B.COM.PORTUGUES,2024-08-05T00:00:00Z,0.349,0.3613,0.34,0.36,0.36,110725503,4810,39113725,0.3532
B.COM.PORTUGUES,2024-08-02T00:00:00Z,0.372,0.3733,0.3578,0.3578,0.3578,89810567,4794,32757721,0.3647
B.COM.PORTUGUES,2024-08-01T00:00:00Z,0.3934,0.3934,0.3757,0.3757,0.3757,94068056,4555,36039552,0.3831
B.COM.PORTUGUES,2024-07-31T00:00:00Z,0.3878,0.39,0.3828,0.3898,0.3898,46191227,1756,17871220,0.3869
B.COM.PORTUGUES,2024-07-30T00:00:00Z,0.3857,0.3924,0.383,0.3864,0.3864,41072430,1951,15952484,0.3884
B.COM.PORTUGUES,2024-07-29T00:00:00Z,0.387,0.3914,0.3842,0.3861,0.3861,29222153,1505,11329626,0.3877
B.COM.PORTUGUES,2024-07-26T00:00:00Z,0.389,0.3902,0.3812,0.3845,0.3845,34897860,1769,13464817,0.3858
B.COM.PORTUGUES,2024-07-25T00:00:00Z,0.391,0.3917,0.382,0.3896,0.3896,54563213,2718,21111760,0.3869
B.COM.PORTUGUES,2024-07-24T00:00:00Z,0.3944,0.3972,0.3905,0.3934,0.3934,37484499,1779,14766961,0.3939
B.COM.PORTUGUES,2024-07-23T00:00:00Z,0.3992,0.4009,0.393,0.3934,0.3934,58774099,2743,23315349,0.3967
B.COM.PORTUGUES,2024-07-22T00:00:00Z,0.3925,0.3949,0.3904,0.3939,0.3939,50563580,2714,19861400,0.3928
B.COM.PORTUGUES,2024-07-19T00:00:00Z,0.385,0.3909,0.383,0.3876,0.3876,41690561,1932,16136990,0.3871
B.COM.PORTUGUES,2024-07-18T00:00:00Z,0.3896,0.3945,0.3871,0.3871,0.3871,55440200,2887,21652822,0.3906
B.COM.PORTUGUES,2024-07-17T00:00:00Z,0.399,0.4024,0.3853,0.3855,0.3855,116241494,5417,45740677,0.3935
B.COM.PORTUGUES,2024-07-16T00:00:00Z,0.381,0.3969,0.3807,0.3969,0.3969,129261615,4619,50501701,0.3907
B.COM.PORTUGUES,2024-07-15T00:00:00Z,0.3733,0.3818,0.3712,0.38,0.38,71786816,2621,27182790,0.3787
